acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,ground_control,gsd,heavy_haze_percent,instrument,item_type,light_haze_percent,pixel_resolution,provider,published,publishing_stage,quality_category,satellite_azimuth,satellite_id,shadow_percent,snow_ice_percent,strip_id,sun_azimuth,sun_elevation,updated,view_angle,visible_confidence_percent,visible_percent,id,site
2020-11-14T18:10:57.701629Z,0.0,95,99,0.0,0,True,3.8,0,PSB.SD,PSScene,0,3,planetscope,2022-12-18T22:38:01Z,finalized,standard,104.4,2257,0,0,3899488,152.2,29.7,2022-12-18T22:38:01Z,2.0,72,100,20180205_181746_100a,scott_creek
2020-12-29T18:58:12.44188Z,0.0,90,99,0.0,0,True,4.2,0,PSB.SD,PSScene,1,3,planetscope,2022-12-18T20:02:51Z,finalized,standard,100.7,225b,0,0,4026358,161.4,27.5,2022-12-18T20:02:51Z,4.0,68,100,20180205_184439_104a,scott_creek
2020-12-07T19:01:38.46021Z,0.0,92,99,0.0,0,True,4.1,0,PSB.SD,PSScene,1,3,planetscope,2022-12-18T07:39:30Z,finalized,standard,278.0,240a,0,0,3966465,164.0,28.4,2022-12-18T07:39:30Z,5.0,67,100,20180206_184428_1043,scott_creek
2020-11-26T18:14:49.960699Z,0.0,95,99,0.0,0,True,3.9,0,PSB.SD,PSScene,0,3,planetscope,2022-12-18T03:37:47Z,finalized,standard,277.8,2277,0,0,3934129,153.0,26.9,2022-12-18T03:37:47Z,5.0,67,100,20180207_181804_0e26,scott_creek
2020-11-05T18:57:53.026446Z,0.0,94,100,0.0,0,True,4.2,0,PSB.SD,PSScene,0,3,planetscope,2022-12-18T03:18:46Z,finalized,standard,100.9,227a,0,0,3872329,164.6,35.7,2022-12-18T03:18:46Z,5.0,70,100,20180209_181725_103e,scott_creek
2020-12-21T18:07:35.492301Z,0.0,91,97,0.01,1,True,3.8,0,PSB.SD,PSScene,1,3,planetscope,2022-12-17T21:09:10Z,finalized,standard,172.7,2235,1,0,4004228,150.3,23.3,2022-12-17T21:09:10Z,0.3,69,99,20180209_184342_0f21,scott_creek
2020-10-13T19:01:09.482305Z,0.0,91,97,0.0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2022-12-17T06:45:16Z,finalized,standard,190.8,225b,3,0,3809318,161.6,43.1,2022-12-17T06:45:16Z,0.2,70,100,20180212_181747_0f3f,scott_creek
2020-12-16T18:58:30.803843Z,0.0,89,98,0.0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2022-12-17T03:33:16Z,finalized,standard,102.4,2413,1,0,3991765,163.2,27.7,2022-12-17T03:33:16Z,3.0,67,100,20180213_181729_102f,scott_creek
2020-12-23T18:59:02.249655Z,0.0,88,98,0.0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2022-12-17T01:14:31Z,finalized,standard,103.6,2405,1,0,4010414,162.3,27.5,2022-12-17T01:14:31Z,2.0,64,100,20180214_181828_1042,scott_creek
2020-12-20T18:56:42.739119Z,0.0,94,98,0.0,0,True,4.2,0,PSB.SD,PSScene,1,3,planetscope,2022-12-17T01:03:49Z,finalized,standard,100.6,2419,1,0,4001672,162.6,27.5,2022-12-17T01:03:49Z,5.0,69,100,20180215_181811_101b,scott_creek
2020-11-16T18:14:37.987226Z,0.0,95,100,0.0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2022-12-17T01:03:29Z,finalized,standard,276.0,2262,0,0,3904565,152.9,29.3,2022-12-17T01:03:29Z,2.0,68,100,20180216_181958_0e2f,scott_creek
2021-03-31T18:08:42.514051Z,0.0,95,99,0.0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2022-12-14T21:15:53Z,finalized,standard,276.7,241a,1,0,4325710,130.9,46.6,2022-12-14T21:15:53Z,3.1,71,100,20180219_181834_0f52,scott_creek
2021-03-26T18:07:09.286266Z,0.0,97,99,0.0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2022-12-14T15:42:10Z,finalized,standard,269.1,2436,1,0,4308360,132.3,44.8,2022-12-14T15:42:10Z,0.8,79,100,20180220_181751_1033,scott_creek
2021-01-21T18:58:37.15167Z,0.0,92,91,0.09,9,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2022-12-14T12:36:41Z,finalized,standard,108.0,2406,0,0,4089853,157.8,30.2,2022-12-14T12:36:41Z,1.0,68,91,20180221_181735_0f18,scott_creek
2021-02-22T18:16:38.903654Z,0.0,94,99,0.0,0,True,3.9,0,PSB.SD,PSScene,0,3,planetscope,2022-12-14T02:08:29Z,finalized,standard,277.1,2231,1,0,4191348,141.0,34.3,2022-12-14T02:08:29Z,5.0,73,100,20180227_181834_1011,scott_creek
2021-03-02T18:16:09.186053Z,0.0,93,99,0.0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2022-12-14T00:54:48Z,finalized,standard,277.8,2262,1,0,4220222,139.4,37.1,2022-12-14T00:54:48Z,5.0,65,100,20180305_184029_1054,scott_creek
2021-03-27T18:06:49.034188Z,0.0,93,98,0.0,0,True,3.8,0,PSB.SD,PSScene,0,3,planetscope,2022-12-13T21:47:11Z,finalized,standard,102.4,222b,2,0,4311724,132.3,45.2,2022-12-13T21:47:11Z,3.1,68,100,20180305_184030_1054,scott_creek
2021-03-30T18:08:19.248212Z,0.0,96,100,0.0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2022-12-13T09:17:34Z,finalized,standard,277.5,2455,0,0,4365867,131.1,46.2,2022-12-13T09:17:34Z,4.0,81,100,20180319_181843_0f18,scott_creek
2021-03-01T18:56:09.843712Z,0.0,94,97,0.0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2022-12-13T03:30:18Z,finalized,standard,100.9,2414,3,0,4217212,152.1,41.7,2022-12-13T03:30:18Z,5.0,76,100,20180323_181951_0f3f,scott_creek
2021-01-07T18:17:06.228119Z,0.0,93,99,0.0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2022-12-13T00:27:58Z,finalized,standard,277.7,227e,0,0,4051369,149.5,24.3,2022-12-13T00:27:58Z,5.0,68,100,20180323_181952_0f3f,scott_creek
2021-04-02T18:58:06.98421Z,0.0,86,90,0.01,0,True,4.0,0,PSB.SD,PSScene,3,3,planetscope,2022-12-10T00:43:53Z,finalized,standard,276.0,240a,6,0,4332819,147.1,53.8,2022-12-10T00:43:53Z,3.0,62,99,20180326_181920_103c,scott_creek
2021-09-30T18:05:55.7131Z,0.0,95,100,0.0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2022-12-04T09:51:10Z,finalized,standard,271.7,2465,0,0,4955820,140.4,42.0,2022-12-04T09:51:10Z,1.0,71,100,20180327_181959_0e2f,scott_creek
2021-09-20T18:05:43.826622Z,0.0,96,99,0.0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2022-12-03T15:31:36Z,finalized,standard,274.5,2457,1,0,4919190,136.3,44.7,2022-12-03T15:31:36Z,3.0,73,100,20180327_183646_101c,scott_creek
